model__C,model__class_weight,accuracy,precision,recall,f1,roc_auc
0.01,,0.9490382213339995,0.9196428571428571,0.8828571428571429,0.9008746355685131,0.9859252092303227
0.1,,0.9460404696477642,0.9186746987951807,0.8714285714285714,0.8944281524926686,0.9857594375372905
1.0,,0.9417936547589308,0.9155645981688708,0.8571428571428571,0.8853910477127398,0.9850379759082772
10.0,,0.939045715713215,0.9095528455284553,0.8523809523809524,0.880039331366765,0.9844145582377888
0.01,"{0: 1, 1: 2}",0.9300524606545091,0.826271186440678,0.9285714285714286,0.874439461883408,0.9859600406366407
0.1,"{0: 1, 1: 2}",0.9295528353734699,0.8287671232876712,0.9219047619047619,0.872858431018936,0.9856249496073404
1.0,"{0: 1, 1: 2}",0.92305770671996,0.8181818181818182,0.9085714285714286,0.8610108303249098,0.9848038314546951
0.1,balanced,0.9180614539095678,0.786053882725832,0.9447619047619048,0.8581314878892734,0.9856526857271862
1.0,balanced,0.9160629527854109,0.7842356687898089,0.9380952380952381,0.8542931483087598,0.9848544659990647
0.01,balanced,0.9145640769422932,0.7778649921507065,0.9438095238095238,0.8528399311531841,0.9859864867044006
10.0,"{0: 1, 1: 2}",0.917312015988009,0.804919423240034,0.9038095238095238,0.851502916105877,0.984166868237305
10.0,balanced,0.9125655758181364,0.78,0.9285714285714286,0.8478260869565217,0.9841178462580427
