month,n_samples,precision,recall,F1-score
2,77,1.0,0.75,0.8571428571428571
3,384,0.9878048780487805,0.8181818181818182,0.8950276243093923
4,308,0.9696969696969697,0.8,0.8767123287671232
5,308,1.0,0.8024691358024691,0.8904109589041096
6,385,0.9887640449438202,0.8712871287128713,0.9263157894736842
7,307,0.9459459459459459,0.8536585365853658,0.8974358974358975
8,308,0.9166666666666666,0.8148148148148148,0.8627450980392157
9,385,0.9390243902439024,0.7549019607843137,0.8369565217391305
10,308,0.9508196721311475,0.7160493827160493,0.8169014084507042
11,308,0.9841269841269841,0.775,0.8671328671328671
12,307,1.0,0.6296296296296297,0.7727272727272727
