month,n_samples,precision,recall,F1-score
3,153,0.7608695652173914,0.875,0.813953488372093
4,308,0.7835051546391752,0.95,0.8587570621468926
5,308,0.7708333333333334,0.9135802469135802,0.8361581920903954
6,385,0.8557692307692307,0.8811881188118812,0.8682926829268293
7,307,0.8041237113402062,0.9512195121951219,0.8715083798882681
8,308,0.8202247191011236,0.9012345679012346,0.8588235294117647
9,385,0.8529411764705882,0.8529411764705882,0.8529411764705882
10,308,0.8658536585365854,0.8765432098765432,0.8711656441717791
11,308,0.8809523809523809,0.925,0.9024390243902439
12,307,0.8831168831168831,0.8395061728395061,0.8607594936708861
