feature,importance
num__rolling_mean_8,0.19883949589623057
num__lag_2,0.1561229805731425
num__total_crime_count,0.14940900198046597
num__rolling_mean_4,0.14187577529764617
num__lag_1,0.11729753274673718
num__battery_count,0.08719619008502921
num__theft_count,0.04650919629556523
num__burglary_count,0.020835906444823644
num__week_of_year,0.005554682039590406
num__arrest_rate,0.005466467741442952
num__month,0.0042496606404738915
cat__Community Area_66,0.004056403886083535
num__domestic_rate,0.0038803297442938462
cat__Community Area_68,0.0035621133242281972
cat__Community Area_25,0.003459774705057948
cat__Community Area_24,0.0032990753873893735
num__top_location_freq,0.0030559016893194134
cat__Community Area_6,0.0026994539852578693
cat__Community Area_28,0.002525558354254006
cat__Community Area_46,0.0024639068469552573
cat__Community Area_44,0.002366955616890384
cat__Community Area_8,0.0023661284695131925
cat__Community Area_32,0.0023012805125240676
cat__Community Area_69,0.0022053976586651532
cat__Community Area_19,0.002140844506061655
cat__Community Area_30,0.0021242599416674184
cat__Community Area_23,0.0021022383447022483
cat__Community Area_49,0.0020555417817336987
cat__Community Area_67,0.0019033266095877844
cat__Community Area_43,0.001846420449634962
cat__Community Area_27,0.0018222618426264826
cat__Community Area_71,0.0017826949696881182
cat__Community Area_26,0.0015914207898611256
cat__Community Area_22,0.001563881596205648
cat__Community Area_61,0.001448612230318037
cat__Community Area_53,0.0012722663854194802
cat__Community Area_29,0.0010715183383637583
cat__Community Area_1,0.0010605064743779715
cat__Community Area_7,0.0010238424692414502
cat__Community Area_42,0.000855243112070048
cat__Community Area_3,0.0005751191544930811
cat__Community Area_38,0.00046212120107307173
cat__Community Area_2,0.00043295542010587885
cat__Community Area_40,0.00019921034671583683
cat__Community Area_15,0.00018529436966380824
cat__Community Area_77,0.00018429646112019883
cat__Community Area_73,0.00014897384186884967
cat__Community Area_16,0.00011250669764189155
cat__Community Area_31,6.492660166938946e-05
cat__Community Area_35,6.47724912406584e-05
cat__Community Area_34,3.515007490178116e-05
cat__Community Area_33,3.284077006399644e-05
cat__Community Area_55,3.130186436884759e-05
cat__Community Area_64,3.073643078747839e-05
cat__Community Area_70,3.0537098662230745e-05
cat__Community Area_59,2.9656193713751903e-05
cat__Community Area_45,2.8438496206878644e-05
cat__Community Area_72,2.371018245546892e-05
cat__Community Area_58,1.3241093510181497e-05
cat__Community Area_36,8.644154823340274e-06
cat__Community Area_75,7.814870293452367e-06
cat__Community Area_39,7.0482652645042964e-06
cat__Community Area_47,5.859926963123953e-06
cat__Community Area_76,5.022131490242525e-06
cat__Community Area_14,4.111085833195331e-06
cat__Community Area_56,2.869407455789676e-06
cat__Community Area_62,2.176199869520093e-06
cat__Community Area_65,1.4710500780525033e-06
cat__Community Area_21,1.4276518970571614e-06
cat__Community Area_41,1.3276725667213716e-06
cat__Community Area_54,8.670924995392342e-07
cat__Community Area_51,8.508066184388035e-07
cat__Community Area_63,1.966411513296075e-07
cat__Community Area_48,1.765303985838568e-07
cat__Community Area_37,7.663438382547226e-08
cat__Community Area_5,6.842017897202699e-08
cat__Community Area_17,3.847207735434744e-08
cat__Community Area_10,2.518497603909857e-08
cat__Community Area_4,1.997418295615754e-08
cat__Community Area_12,1.628479620799069e-08
cat__Community Area_52,1.607904420624288e-08
cat__Community Area_9,1.3267866734783622e-08
cat__Community Area_13,1.1588749506136441e-08
cat__Community Area_57,1.0091149236543817e-08
cat__Community Area_74,7.190493794761276e-10
cat__Community Area_18,5.090706522277836e-10
cat__Community Area_60,3.8541786772470885e-10
cat__Community Area_50,3.484511228391487e-10
cat__Community Area_20,0.0
cat__Community Area_11,0.0
