month,n_samples,precision,recall,F1-score
2,77,1.0,0.7,0.8235294117647058
3,384,0.9876543209876543,0.8080808080808081,0.8888888888888888
4,308,0.9692307692307692,0.7875,0.8689655172413793
5,308,1.0,0.7530864197530864,0.8591549295774648
6,385,1.0,0.8118811881188119,0.8961748633879781
7,307,0.9571428571428572,0.8170731707317073,0.881578947368421
8,308,0.9558823529411765,0.8024691358024691,0.87248322147651
9,385,0.9375,0.7352941176470589,0.8241758241758241
10,308,0.967741935483871,0.7407407407407407,0.8391608391608392
11,308,0.9841269841269841,0.775,0.8671328671328671
12,307,1.0,0.7407407407407407,0.851063829787234
