month,n_samples,precision,recall,F1-score
3,153,0.8571428571428571,0.9,0.8780487804878049
4,308,0.8295454545454546,0.9125,0.8690476190476191
5,308,0.8222222222222222,0.9135802469135802,0.8654970760233918
6,385,0.8691588785046729,0.9207920792079208,0.8942307692307693
7,307,0.7623762376237624,0.9390243902439024,0.8415300546448088
8,308,0.8021978021978022,0.9012345679012346,0.8488372093023255
9,385,0.8125,0.8921568627450981,0.8504672897196262
10,308,0.8295454545454546,0.9012345679012346,0.863905325443787
11,308,0.9,0.9,0.9
12,307,0.9558823529411765,0.8024691358024691,0.87248322147651
